Date,Open,High,Low,Close,Adj Close,Volume
2018-06-06,191.03,192.53,189.11,191.34,191.34,"22,558,900"
2018-06-05,194.3,195.0,192.62,192.94,192.94,"15,544,300"
2018-06-04,191.84,193.98,191.47,193.28,193.28,"18,939,800"
2018-06-01,193.07,194.55,192.07,193.99,193.99,"17,307,200"
2018-05-31,187.87,192.72,187.48,191.78,191.78,"30,782,600"
2018-05-30,186.54,188.0,185.25,187.67,187.67,"13,736,900"
2018-05-29,184.34,186.81,183.71,185.74,185.74,"16,398,900"
2018-05-25,186.02,186.33,184.45,184.92,184.92,"10,965,100"
2018-05-24,185.88,186.8,185.03,185.93,185.93,"12,354,700"
2018-05-23,182.5,186.91,182.18,186.9,186.9,"16,628,100"
2018-05-22,184.93,185.42,183.43,183.8,183.8,"12,731,400"
2018-05-21,183.77,185.3,183.13,184.49,184.49,"13,532,900"
2018-05-18,183.49,184.19,182.61,182.68,182.68,"13,130,500"
2018-05-17,182.68,184.06,182.22,183.76,183.76,"14,840,700"
2018-05-16,183.7,184.32,182.66,183.2,183.2,"16,975,500"
2018-05-15,184.88,185.29,183.2,184.32,184.32,"15,429,400"
2018-05-14,187.71,187.86,186.2,186.64,186.64,"15,646,700"
2018-05-11,184.85,188.32,184.18,186.99,186.99,"21,207,800"
2018-05-10,183.15,186.13,182.5,185.53,185.53,"21,071,400"
2018-05-09,179.67,183.01,178.78,182.66,182.66,"23,282,800"
2018-05-08,178.25,179.04,177.11,178.92,178.92,"15,577,200"
2018-05-07,177.35,179.5,177.17,177.97,177.97,"18,697,200"
2018-05-04,173.08,176.98,173.06,176.61,176.61,"17,677,800"
2018-05-03,175.13,176.12,172.12,174.02,174.02,"24,026,100"
2018-05-02,174.25,178.08,174.2,176.07,176.07,"30,424,500"
2018-05-01,172.0,174.02,170.23,173.86,173.86,"26,025,900"
2018-04-30,173.79,175.72,171.71,172.0,172.0,"20,750,500"
2018-04-27,176.81,177.1,172.6,173.59,173.59,"29,804,700"
2018-04-26,173.22,176.27,170.8,174.16,174.16,"77,556,900"
2018-04-25,160.14,161.06,156.19,159.69,159.69,"41,083,600"
2018-04-24,165.43,166.1,158.19,159.69,159.69,"35,079,900"
2018-04-23,167.27,168.45,165.09,165.84,165.84,"23,088,100"
2018-04-20,167.79,168.43,165.81,166.28,166.28,"19,119,400"
2018-04-19,166.2,168.33,165.2,168.1,168.1,"22,235,000"
2018-04-18,166.88,168.12,165.77,166.36,166.36,"20,969,600"
2018-04-17,165.83,169.0,165.66,168.66,168.66,"21,716,700"
2018-04-16,165.72,165.78,163.39,164.83,164.83,"18,119,400"
2018-04-13,164.58,165.7,163.77,164.52,164.52,"19,990,600"
2018-04-12,166.98,167.45,163.1,163.87,163.87,"38,263,000"
2018-04-11,165.36,168.65,163.25,166.32,166.32,"56,144,600"
2018-04-10,157.93,165.98,157.01,165.04,165.04,"57,889,300"
2018-04-09,157.82,160.53,156.04,157.93,157.93,"34,915,200"
2018-04-06,157.73,161.42,156.81,157.2,157.2,"41,644,800"
2018-04-05,161.56,161.57,156.65,159.34,159.34,"41,449,600"
2018-04-04,152.03,155.56,150.51,155.1,155.1,"49,885,600"
2018-04-03,156.55,157.39,150.81,156.11,156.11,"42,543,900"
2018-04-02,157.81,159.2,154.11,155.39,155.39,"36,796,000"
2018-03-29,155.15,161.42,154.14,159.79,159.79,"59,434,300"
2018-03-28,151.65,155.88,150.8,153.03,153.03,"60,029,200"
2018-03-27,156.31,162.85,150.75,152.22,152.22,"79,117,000"
2018-03-26,160.82,161.1,149.02,160.06,160.06,"126,116,600"
2018-03-23,165.44,166.6,159.02,159.39,159.39,"53,609,700"
2018-03-22,166.13,170.27,163.72,164.89,164.89,"73,743,000"
2018-03-21,164.8,173.4,163.3,169.39,169.39,"105,920,200"
2018-03-20,167.47,170.2,161.95,168.15,168.15,"129,851,800"
2018-03-19,177.01,177.17,170.06,172.56,172.56,"88,140,100"
2018-03-16,184.49,185.33,183.41,185.09,185.09,"24,403,400"
2018-03-15,183.24,184.0,182.19,183.86,183.86,"15,614,300"
2018-03-14,182.6,184.25,181.85,184.19,184.19,"16,821,700"
2018-03-13,185.61,185.99,181.11,181.88,181.88,"18,067,500"
2018-03-12,185.23,186.1,184.22,184.76,184.76,"15,301,200"
2018-03-09,183.91,185.51,183.21,185.23,185.23,"18,526,300"
2018-03-08,183.56,184.4,181.45,182.34,182.34,"17,225,900"
2018-03-07,178.74,183.82,178.07,183.71,183.71,"19,097,300"
2018-03-06,181.78,182.38,179.11,179.78,179.78,"15,086,800"
2018-03-05,176.2,181.15,175.89,180.4,180.4,"16,189,300"
2018-03-02,173.29,177.11,172.99,176.62,176.62,"20,025,900"
2018-03-01,179.01,180.12,174.41,175.94,175.94,"23,201,600"
2018-02-28,182.3,182.88,178.14,178.32,178.32,"18,783,000"
2018-02-27,184.45,184.7,181.46,181.46,181.46,"15,849,800"
2018-02-26,184.58,185.66,183.22,184.93,184.93,"17,599,700"
2018-02-23,179.9,183.39,179.51,183.29,183.29,"19,007,300"
2018-02-22,178.7,180.21,177.41,178.99,178.99,"18,464,200"
2018-02-21,176.71,181.27,176.4,177.91,177.91,"23,200,800"
2018-02-20,175.77,177.95,175.11,176.01,176.01,"21,204,900"
2018-02-16,178.99,179.88,176.3,177.36,177.36,"20,645,300"
2018-02-15,180.5,180.5,176.84,179.96,179.96,"20,922,100"
2018-02-14,173.45,179.81,173.21,179.52,179.52,"28,929,700"
2018-02-13,175.62,175.97,173.1,173.15,173.15,"21,809,400"
2018-02-12,177.06,177.55,171.84,176.41,176.41,"32,092,100"
2018-02-09,174.76,176.9,167.18,176.11,176.11,"39,887,600"
2018-02-08,181.01,181.84,171.48,171.58,171.58,"38,478,300"
2018-02-07,184.15,185.08,179.95,180.18,180.18,"27,601,900"
2018-02-06,178.57,185.77,177.74,185.31,185.31,"37,758,500"
2018-02-05,186.93,190.61,180.61,181.26,181.26,"33,128,200"
2018-02-02,192.04,194.21,189.98,190.28,190.28,"26,677,500"
2018-02-01,188.22,195.32,187.89,193.09,193.09,"54,211,300"
2018-01-31,188.37,189.83,185.22,186.89,186.89,"43,275,100"
2018-01-30,187.62,188.18,181.84,187.12,187.12,"20,858,600"
2018-01-29,188.75,188.84,185.63,185.98,185.98,"20,453,200"
