"date","close","volume","open","high","low"
"2018/06/21","201.5000","18906350.0000","202.7600","203.3900","200.0900"
"2018/06/20","202.0000","28175590.0000","199.1000","203.5500","198.8050"
"2018/06/19","197.4900","19968690.0000","196.2350","197.9600","193.7900"
"2018/06/18","198.3100","16470990.0000","194.8000","199.5800","194.1300"
"2018/06/15","195.8500","21833150.0000","195.7900","197.0700","194.6400"
"2018/06/14","196.8100","19096760.0000","193.1000","197.2800","192.9100"
"2018/06/13","192.4100","15121450.0000","192.7400","194.5000","191.9100"
"2018/06/12","192.4000","11217070.0000","192.1700","193.2800","191.5600"
"2018/06/11","191.5400","12885730.0000","188.8100","192.6000","188.8000"
"2018/06/08","189.1000","12503130.0000","187.5300","189.4754","186.4300"
"2018/06/07","188.1800","21451790.0000","190.7500","190.9700","186.7700"
"2018/06/06","191.3400","22500160.0000","191.0250","192.5300","189.1100"
"2018/06/05","192.9400","15059480.0000","194.3000","195.0000","192.6200"
"2018/06/04","193.2800","18881330.0000","191.8400","193.9800","191.4700"
"2018/06/01","193.9900","17278520.0000","193.0650","194.5492","192.0700"
"2018/05/31","191.7800","30727790.0000","187.8700","192.7200","187.4800"
"2018/05/30","187.6700","13636820.0000","186.5400","188.0000","185.2500"
"2018/05/29","185.7400","16348650.0000","184.3400","186.8100","183.7100"
"2018/05/25","184.9200","10730560.0000","186.0200","186.3300","184.4500"
"2018/05/24","185.9300","11628050.0000","185.8800","186.8000","185.0300"
"2018/05/23","186.9000","16594310.0000","182.5000","186.9100","182.1800"
"2018/05/22","183.8000","12267860.0000","184.9300","185.4200","183.4300"
"2018/05/21","184.4900","13078810.0000","183.7700","185.3000","183.1300"
"2018/05/18","182.6800","13066220.0000","183.4900","184.1900","182.6100"
"2018/05/17","183.7600","14695830.0000","182.6800","184.0600","182.2200"
"2018/05/16","183.2000","16842080.0000","183.6950","184.3200","182.6600"
"2018/05/15","184.3200","15409930.0000","184.8800","185.2900","183.2000"
"2018/05/14","186.6400","15480030.0000","187.7100","187.8600","186.2000"
"2018/05/11","186.9900","21197800.0000","184.8500","188.3200","184.1800"
"2018/05/10","185.5300","20931530.0000","183.1500","186.1292","182.5000"
"2018/05/09","182.6600","23266280.0000","179.6700","183.0100","178.7807"
"2018/05/08","178.9200","15482580.0000","178.2500","179.0400","177.1100"
"2018/05/07","177.9700","18302910.0000","177.3500","179.5000","177.1700"
"2018/05/04","176.6100","17668270.0000","173.0800","176.9800","173.0600"
"2018/05/03","174.0200","23908500.0000","175.1300","176.1200","172.1200"
"2018/05/02","176.0700","29812020.0000","174.2460","178.0800","174.2000"
"2018/05/01","173.8600","26001150.0000","172.0000","174.0200","170.2300"
"2018/04/30","172.0000","20662060.0000","173.7900","175.7200","171.7100"
"2018/04/27","173.5900","29773640.0000","176.8100","177.1000","172.6000"
"2018/04/26","174.1600","77391810.0000","173.2200","176.2700","170.8000"
"2018/04/25","159.6900","38451590.0000","160.1450","161.0600","156.1900"
"2018/04/24","159.6900","34981150.0000","165.4300","166.1000","158.1900"
"2018/04/23","165.8400","22894510.0000","167.2700","168.4500","165.0900"
"2018/04/20","166.2800","18917050.0000","167.7900","168.4300","165.8100"
"2018/04/19","168.1000","21921120.0000","166.2000","168.3300","165.2000"
"2018/04/18","166.3600","20248580.0000","166.8800","168.1200","165.7700"
"2018/04/17","168.6600","21986820.0000","165.8300","169.0000","165.6600"
"2018/04/16","164.8300","17951530.0000","165.7250","165.7800","163.3900"
"2018/04/13","164.5200","19450140.0000","164.5800","165.7036","163.7700"
"2018/04/12","163.8700","38195140.0000","166.9800","167.4500","163.1000"
"2018/04/11","166.3200","56011860.0000","165.3600","168.6500","163.2500"
"2018/04/10","165.0400","58051080.0000","157.9300","165.9800","157.0100"
"2018/04/09","157.9300","34671420.0000","157.8200","160.5300","156.0400"
"2018/04/06","157.2000","41397190.0000","157.7300","161.4200","156.8100"
"2018/04/05","159.3400","41138460.0000","161.5600","161.5750","156.6500"
"2018/04/04","155.1000","49542320.0000","152.0250","155.5600","150.5100"
"2018/04/03","156.1100","42518400.0000","156.5500","157.3900","150.8100"
"2018/04/02","155.3900","36715460.0000","157.8100","159.2000","154.1110"
