ticker,date,close,volume,open,high,low
AAPL,2018-07-27,190.98,23975350,194.99,195.19,190.1
AMZN,2018-07-27,1817.27,9670042,1876.05,1880.05,1806.53
FB,2018-07-27,174.89,59700640,179.87,179.93,173.0
GOOG,2018-07-27,1238.5,2115802,1271.0,1273.89,1231.0
NFLX,2018-07-27,355.21,8938523,366.85,367.0,351.65
AAPL,2018-07-30,189.91,20912890,191.9,192.2,189.07
AMZN,2018-07-30,1779.22,6542712,1827.33,1829.5,1766.02
FB,2018-07-30,171.06,65129810,175.3,175.3,166.56
GOOG,2018-07-30,1219.74,1822782,1228.01,1234.9160000000002,1211.47
NFLX,2018-07-30,334.96,18227810,351.93,352.03,334.0201
AAPL,2018-07-31,190.29,37847260,190.3,192.14,189.34
AMZN,2018-07-31,1777.44,5716449,1786.49,1801.83,1739.32
FB,2018-07-31,172.58,40213830,170.67,174.24,170.0
GOOG,2018-07-31,1217.26,1632823,1220.01,1227.5877,1205.6
NFLX,2018-07-31,337.45,14039440,331.51,342.5,328.0
AAPL,2018-08-01,201.5,67812280,199.13,201.76,197.31
AMZN,2018-08-01,1797.17,4139144,1784.0,1798.4365,1776.02
FB,2018-08-01,171.65,33979910,173.93,175.08,170.9
GOOG,2018-08-01,1220.01,1567142,1228.0,1233.47,1210.21
NFLX,2018-08-01,338.38,7761986,335.87,344.41,334.02
AAPL,2018-08-02,207.39,62317430,200.58,208.38,200.35
AMZN,2018-08-02,1834.33,4337911,1788.77,1836.56,1786.0
FB,2018-08-02,176.37,32235750,170.68,176.79,170.27
GOOG,2018-08-02,1226.15,1520488,1205.9,1229.88,1204.79
NFLX,2018-08-02,344.5,7111670,337.23,345.0,334.71
AAPL,2018-08-03,207.99,33408050,207.03,208.74,205.4803
AMZN,2018-08-03,1823.29,3454718,1837.744,1841.0,1821.501
FB,2018-08-03,177.78,24730780,177.69,178.85,176.15
GOOG,2018-08-03,1223.71,1072524,1229.62,1230.0,1215.06
NFLX,2018-08-03,343.09,8836308,347.75,347.86,338.4768
AAPL,2018-08-06,209.07,25396100,208.0,209.25,207.07
AMZN,2018-08-06,1847.75,3383971,1825.81,1847.77,1818.92
FB,2018-08-06,185.69,49600350,178.97,185.79,178.38
GOOG,2018-08-06,1224.77,1080923,1225.0,1226.0876,1215.7965
NFLX,2018-08-06,350.92,8186587,342.865,351.98,341.74
AAPL,2018-08-07,207.11,25525650,209.32,209.5,206.76
AMZN,2018-08-07,1862.48,3332789,1854.53,1869.72,1846.2673
FB,2018-08-07,183.81,33127670,186.5,188.3,183.72
GOOG,2018-08-07,1242.22,1493073,1237.0,1251.17,1236.17
NFLX,2018-08-07,351.83,7952555,353.23,357.31,349.01
AAPL,2018-08-08,207.25,22493750,206.05,207.81,204.52
AMZN,2018-08-08,1886.52,3922462,1861.0,1891.51,1854.5
FB,2018-08-08,185.18,22178460,184.75,186.85,183.76
GOOG,2018-08-08,1245.61,1369650,1240.47,1256.5,1238.0083
NFLX,2018-08-08,347.61,5392715,352.21,352.29,346.61
AAPL,2018-08-09,208.88,23389530,207.28,209.78,207.2
AMZN,2018-08-09,1898.52,4844363,1882.0,1914.57,1877.48
FB,2018-08-09,183.09,19652850,185.84900000000002,186.57,182.48
GOOG,2018-08-09,1249.1,805227,1249.9,1255.542,1246.01
NFLX,2018-08-09,349.36,4680889,347.96,352.439,345.8157
AAPL,2018-08-10,207.53,24592460,207.36,209.1,206.67
AMZN,2018-08-10,1886.3,3623734,1888.51,1899.5,1878.2125
FB,2018-08-10,180.26,21467940,182.04,182.1,179.42
GOOG,2018-08-10,1237.61,1107323,1243.0,1245.695,1232.0
NFLX,2018-08-10,345.87,4327581,346.91,349.1,344.4233
AAPL,2018-08-13,208.87,25864510,207.7,210.952,207.7
AMZN,2018-08-13,1896.2,5508481,1898.5,1925.0,1893.67
FB,2018-08-13,180.05,17349150,180.1,182.61,178.9
GOOG,2018-08-13,1235.01,957153,1236.98,1249.2728,1233.6405
NFLX,2018-08-13,341.31,6884455,339.89,347.19,339.07
AAPL,2018-08-14,209.75,20679270,210.155,210.56,208.26
AMZN,2018-08-14,1919.65,3918758,1919.39,1921.01,1900.0
FB,2018-08-14,181.11,18961200,180.71,181.99,178.62
GOOG,2018-08-14,1242.1,1342534,1235.19,1245.8695,1225.11
NFLX,2018-08-14,337.49,5791723,342.09,342.41,336.25
AAPL,2018-08-15,210.24,28595230,209.22,210.74,208.33
AMZN,2018-08-15,1882.62,7658108,1909.55,1916.21,1869.79
FB,2018-08-15,179.53,32658240,179.34,180.87,174.78
GOOG,2018-08-15,1214.38,1815642,1229.26,1235.24,1209.51
NFLX,2018-08-15,326.4,11746500,334.03,335.4962,321.0
AAPL,2018-08-16,213.32,27595310,211.75,213.8121,211.47
AMZN,2018-08-16,1886.52,3884253,1903.94,1905.0,1883.5525
FB,2018-08-16,174.7,31161240,180.42,180.5,174.01
GOOG,2018-08-16,1206.49,1319985,1224.73,1225.9999,1202.55
NFLX,2018-08-16,322.44,6674219,329.9,331.17,321.2138
AAPL,2018-08-17,217.58,35034410,213.44,217.95,213.16
AMZN,2018-08-17,1882.22,4088548,1885.8,1888.0,1855.55
FB,2018-08-17,173.8,24819470,174.5,176.22,172.04
GOOG,2018-08-17,1200.96,1381724,1202.03,1209.02,1188.24
NFLX,2018-08-17,316.78,10370280,319.01,324.365,312.96
AAPL,2018-08-20,215.46,30149410,218.1,219.18,215.11
AMZN,2018-08-20,1876.71,2854320,1890.57,1891.7465,1866.0610000000001
FB,2018-08-20,172.5,21449120,174.04,174.57,170.91
GOOG,2018-08-20,1207.77,864462,1205.02,1211.0,1194.6264
NFLX,2018-08-20,327.73,13564480,314.64,331.6,310.928
AAPL,2018-08-21,215.04,25682700,216.8,217.19,214.025
AMZN,2018-08-21,1883.42,3068215,1880.0,1897.75,1874.405
FB,2018-08-21,172.62,19475690,172.81,174.17,171.39
GOOG,2018-08-21,1201.62,1187884,1208.0,1217.26,1200.3537
NFLX,2018-08-21,338.02,14501880,331.0,341.5,329.7
AAPL,2018-08-22,215.05,18965930,214.1,216.36,213.84
AMZN,2018-08-22,1904.9,3058369,1876.64,1905.8,1876.64
FB,2018-08-22,173.64,16760320,172.21,174.24,172.13
GOOG,2018-08-22,1207.33,881463,1200.0,1211.84,1199.0
NFLX,2018-08-22,344.44,8912548,338.49,346.21,337.406
AAPL,2018-08-23,215.49,18505780,214.65,217.05,214.6
AMZN,2018-08-23,1902.9,3548197,1907.17,1919.5,1900.76
FB,2018-08-23,172.9,17945260,173.09,175.55,172.83
GOOG,2018-08-23,1205.38,988509,1207.14,1221.28,1204.24
NFLX,2018-08-23,339.17,11312170,348.11,350.08,337.65
AAPL,2018-08-24,216.16,18457720,216.6,216.9,215.11
