,ACS_GEO_ID,ACS_GEO_ID2,STFIPS,AREATYPE,AREA,TOTAL_POPULATION,CIVILIAN_LABOR_FORCE,NUMBER_EMPLOYED,UNEMPLOYMENT_RATE,MEDIAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,POVERTY_RATE,HIGH_SCHOOL_GRADUATE,BACHELOR_DEGREE_GRADUATE,MEDIAN_GROSS_RENT,RENT_PERCENT_INCOME,MEDIAN_HOUSING_VALUE,OWNER_COST_PERCENT_INCOME,MEAN_TRAVEL_TIME_TO_WORK,CIVILIAN_VETERANS,AREANAME_UNUSED
1778,0500000US01111,01,01,04,111,22647,9144,8764,4.2,43395,24721,16.9,79.6,16.5,620,26.8,96100,14.1,27.9,7.7,"Randolph County, Alabama"
1779,0500000US01097,01,01,04,097,414114,185327,174519,5.8,47583,25861,18.8,86.5,23.2,853,31.6,130200,16.4,25.0,8.9,"Mobile County, Alabama"
1780,0500000US01105,01,01,04,105,9293,2861,2571,10.1,23447,15055,30.8,82.8,22.8,507,33.9,65000,24.6,25.7,5.6,"Perry County, Alabama"
1781,0500000US01029,01,01,04,029,14916,6068,5707,5.9,44741,23142,17.3,79.0,15.4,585,23.4,116500,14.6,34.0,6.1,"Cleburne County, Alabama"
1782,0500000US01035,01,01,04,035,12394,4663,4232,9.2,37837,19769,17.6,84.3,12.8,536,26.5,81000,12.0,27.9,5.9,"Conecuh County, Alabama"
1783,0500000US01005,01,01,04,005,25361,9262,8413,9.2,32525,18473,30.7,73.2,11.6,576,29.6,90700,15.3,22.4,6.6,"Barbour County, Alabama"
1784,0500000US01007,01,01,04,007,22493,9046,8387,7.3,47542,20778,18.1,79.1,10.4,734,29.4,92800,13.9,29.7,8.0,"Bibb County, Alabama"
1785,0500000US01015,01,01,04,015,114618,52106,47896,8.1,47255,25345,17.9,84.4,18.5,716,27.6,118000,14.8,25.0,10.8,"Calhoun County, Alabama"
1786,0500000US01025,01,01,04,025,24128,8850,7770,12.2,37404,22225,23.2,80.6,12.2,555,26.5,112500,15.1,26.6,6.2,"Clarke County, Alabama"
1787,0500000US01057,01,01,04,057,16494,6766,6337,6.3,39856,22483,19.4,82.6,12.4,527,31.5,88500,13.5,29.8,8.4,"Fayette County, Alabama"
1788,0500000US31149,31,31,04,149,1414,756,754,0.3,56250,36140,5.3,96.7,23.2,488,18.4,96200,12.3,12.6,6.9,"Rock County, Nebraska"
1789,0500000US31163,31,31,04,163,3033,1565,1516,3.1,50781,28448,12.4,93.0,20.2,534,17.6,88700,15.5,25.0,7.6,"Sherman County, Nebraska"
1790,0500000US22011,22,22,04,011,37043,15680,14342,8.5,53209,26331,15.5,85.3,17.8,741,26.1,127500,12.1,30.2,11.4,"Beauregard Parish, Louisiana"
1791,0500000US22013,22,22,04,013,13564,4874,4661,4.4,30272,21491,28.4,84.1,12.8,487,31.4,75900,12.4,30.2,7.4,"Bienville Parish, Louisiana"
1792,0500000US22015,22,22,04,015,126499,56889,54094,4.9,54268,28766,17.2,89.7,25.2,992,30.6,172400,16.3,22.3,12.5,"Bossier Parish, Louisiana"
1793,0500000US22023,22,22,04,023,6930,3302,3148,4.7,53423,28358,9.9,84.7,12.7,905,29.3,119500,10.8,33.0,9.5,"Cameron Parish, Louisiana"
1794,0500000US22037,22,22,04,037,19371,6887,6502,5.6,51803,23612,17.5,80.0,12.7,647,25.3,139300,12.1,31.2,5.0,"East Feliciana Parish, Louisiana"
1795,0500000US22095,22,22,04,095,43242,20326,18972,6.7,57429,25968,17.4,86.1,15.9,933,28.1,153900,16.0,29.5,6.5,"St. John the Baptist Parish, Louisiana"
1796,0500000US22075,22,22,04,075,23338,10082,9689,3.9,57204,29258,18.2,83.7,19.1,1289,28.1,190600,14.6,27.3,8.5,"Plaquemines Parish, Louisiana"
1797,0500000US22073,22,22,04,073,155494,67884,63687,6.2,41121,24361,24.7,86.5,24.2,768,33.4,146700,14.1,20.5,7.3,"Ouachita Parish, Louisiana"
1798,0500000US22117,22,22,04,117,46435,19268,17372,9.8,37570,20177,24.4,79.5,11.6,655,31.1,101000,13.4,31.3,8.6,"Washington Parish, Louisiana"
